Nom,Insee,cp,arr,Canton,epci,pop,lat,long,alti,surf
Île-aux-Moines,56087,56780,3,Vannes-2,CA Golfe du Morbihan - Vannes Agglomération,632,47.58917,-2.85139,27,3.26
Île-d'Arz,56088,56840,3,Vannes-2,CA Golfe du Morbihan - Vannes Agglomération,317,47.59056,-2.80389,19,3.1
Île-d'Houat,56086,56170,1,Quiberon,CC Auray Quiberon Terre Atlantique,214,47.39,-2.95389,28,3.64
Inguiniel,56089,56240,1,Guidel,CA Lorient Agglomération,2196,47.97806,-3.28056,140,51.54
Inzinzac-Lochrist,56090,56650,1,Guidel,CA Lorient Agglomération,6631,47.84222,-3.26528,72,45.02
Josselin,56091,56120,2,Ploërmel,Ploërmel Communauté,2559,47.95583,-2.54667,71,4.46
Kerfourn,56092,56920,2,Pontivy,CC Pontivy Communauté,842,48.04278,-2.82944,120,19.46
Kergrist,56093,56300,2,Gourin,CC Pontivy Communauté,713,48.14694,-2.95306,127,29.84
Kernascléden,56264,56540,2,Gourin,CC Roi Morvan Communauté,418,48.0075,-3.31944,100,9.27
Kervignac,56094,56700,1,Hennebont,CC de Blavet Bellevue Océan,7085,47.76333,-3.23639,42,39.4
Landaul,56096,56690,1,Pluvigner,CC Auray Quiberon Terre Atlantique,2487,47.74833,-3.07417,40,18.03
Landévant,56097,56690,1,Pluvigner,CC Auray Quiberon Terre Atlantique,4049,47.765,-3.11806,20,22.67
Lanester,56098,56600,1,Lanester,CA Lorient Agglomération,23188,47.76472,-3.34222,24,16.18
Langoëlan,56099,56160,2,Gourin,CC Roi Morvan Communauté,404,48.12194,-3.235,190,22.71
Langonnet,56100,56630,2,Gourin,CC Roi Morvan Communauté,1851,48.10583,-3.49472,180,86.09
Languidic,56101,56440,1,Hennebont,CA Lorient Agglomération,8046,47.83278,-3.15306,66,105.57
Lantillac,56103,56120,2,Ploërmel,Ploërmel Communauté,291,47.95806,-2.64944,100,7.77
Lanvaudan,56104,56240,1,Guidel,CA Lorient Agglomération,809,47.9,-3.2625,98,18.27
Lanvénégen,56105,56320,2,Gourin,CC Roi Morvan Communauté,1133,47.9975,-3.54028,122,30.41
Larmor-Baden,56106,56870,3,Vannes-2,CA Golfe du Morbihan - Vannes Agglomération,891,47.58861,-2.89528,16,4.21
Larmor-Plage,56107,56260,1,Ploemeur,CA Lorient Agglomération,8368,47.7075,-3.38222,10,8.39
Larré,56108,56230,3,Questembert,CC Questembert Communauté,1102,47.7125,-2.51306,83,17.11
Lauzach,56109,56190,3,Questembert,CC Questembert Communauté,1237,47.61417,-2.54194,40,10.88
Lignol,56110,56160,2,Gourin,CC Roi Morvan Communauté,855,48.03861,-3.26944,144,38.63
Limerzel,56111,56220,3,Questembert,CC Questembert Communauté,1306,47.63556,-2.35222,40,25.26
Lizio,56112,56460,3,Moréac,CC de l'Oust à Brocéliande,807,47.86333,-2.5225,144,16.89
Locmalo,56113,56160,2,Gourin,CC Roi Morvan Communauté,894,48.07139,-3.18472,150,24.21
Locmaria,56114,56360,1,Quiberon,CC de Belle Ile en Mer,973,47.29528,-3.08167,48,20.9
Locmaria-Grand-Champ,56115,56390,3,Grand-Champ,CA Golfe du Morbihan - Vannes Agglomération,1825,47.75833,-2.78583,83,14.11
